Tree,Location,Timestamp,Depth,Moisture,Temperature
ET4,Inner,2023-07-20T10:10:00Z,1,18,20
ET4,Inner,2023-07-20T10:10:00Z,2,0,20.2
ET4,Inner,2023-07-20T10:10:00Z,3,5.1,20.3
ET4,Inner,2023-07-20T10:10:00Z,4,2.9,20.7
ET4,Inner,2023-07-20T10:10:00Z,5,16.2,20.6
ET4,Inner,2023-07-20T10:10:00Z,6,16.2,20.5
ET4,Inner,2023-07-20T10:10:00Z,7,NA,20.6
ET4,Inner,2023-07-20T11:10:00Z,1,20.8,20.1
ET4,Inner,2023-07-20T11:10:00Z,2,0,20.2
ET4,Inner,2023-07-20T11:10:00Z,3,5.7,20.3
ET4,Inner,2023-07-20T11:10:00Z,4,2.9,20.7
ET4,Inner,2023-07-20T11:10:00Z,5,16.1,20.5
ET4,Inner,2023-07-20T11:10:00Z,6,16.2,20.5
ET4,Inner,2023-07-20T11:10:00Z,7,NA,20.6
ET4,Inner,2023-07-20T12:10:00Z,1,20,20.1
ET4,Inner,2023-07-20T12:10:00Z,2,0,20.2
ET4,Inner,2023-07-20T12:10:00Z,3,7.4,20.3
ET4,Inner,2023-07-20T12:10:00Z,4,5,20.6
ET4,Inner,2023-07-20T12:10:00Z,5,16.4,20.5
ET4,Inner,2023-07-20T12:10:00Z,6,16.2,20.5
ET4,Inner,2023-07-20T12:10:00Z,7,NA,20.7
ET4,Inner,2023-07-20T13:10:00Z,1,18.5,20.1
ET4,Inner,2023-07-20T13:10:00Z,2,0,20.2
ET4,Inner,2023-07-20T13:10:00Z,3,6.6,20.3
ET4,Inner,2023-07-20T13:10:00Z,4,4.7,20.6
ET4,Inner,2023-07-20T13:10:00Z,5,16.8,20.6
ET4,Inner,2023-07-20T13:10:00Z,6,16.4,20.5
ET4,Inner,2023-07-20T13:10:00Z,7,NA,20.7
ET4,Inner,2023-07-20T14:10:00Z,1,18.8,20.2
ET4,Inner,2023-07-20T14:10:00Z,2,0,20.3
ET4,Inner,2023-07-20T14:10:00Z,3,6.1,20.3
ET4,Inner,2023-07-20T14:10:00Z,4,4.5,20.7
ET4,Inner,2023-07-20T14:10:00Z,5,16.9,20.6
ET4,Inner,2023-07-20T14:10:00Z,6,16.6,20.5
ET4,Inner,2023-07-20T14:10:00Z,7,NA,20.7
ET4,Inner,2023-07-20T15:10:00Z,1,18.4,20.2
ET4,Inner,2023-07-20T15:10:00Z,2,0,20.3
ET4,Inner,2023-07-20T15:10:00Z,3,5.9,20.3
ET4,Inner,2023-07-20T15:10:00Z,4,4.2,20.7
ET4,Inner,2023-07-20T15:10:00Z,5,16.9,20.5
ET4,Inner,2023-07-20T15:10:00Z,6,16.6,20.5
ET4,Inner,2023-07-20T15:10:00Z,7,NA,20.6
ET4,Inner,2023-07-20T16:10:00Z,1,18.2,20.2
ET4,Inner,2023-07-20T16:10:00Z,2,0,20.3
ET4,Inner,2023-07-20T16:10:00Z,3,5.7,20.5
ET4,Inner,2023-07-20T16:10:00Z,4,4.2,20.6
ET4,Inner,2023-07-20T16:10:00Z,5,16.9,20.6
ET4,Inner,2023-07-20T16:10:00Z,6,16.6,20.5
ET4,Inner,2023-07-20T16:10:00Z,7,NA,20.6
ET4,Inner,2023-07-20T17:10:00Z,1,18.2,20.2
ET4,Inner,2023-07-20T17:10:00Z,2,0,20.3
ET4,Inner,2023-07-20T17:10:00Z,3,5.6,20.5
ET4,Inner,2023-07-20T17:10:00Z,4,4.1,20.7
ET4,Inner,2023-07-20T17:10:00Z,5,16.9,20.6
ET4,Inner,2023-07-20T17:10:00Z,6,16.7,20.5
ET4,Inner,2023-07-20T17:10:00Z,7,NA,20.7
ET4,Inner,2023-07-20T18:10:00Z,1,18.3,20.2
ET4,Inner,2023-07-20T18:10:00Z,2,0,20.3
ET4,Inner,2023-07-20T18:10:00Z,3,5.5,20.5
ET4,Inner,2023-07-20T18:10:00Z,4,3.9,20.7
ET4,Inner,2023-07-20T18:10:00Z,5,16.8,20.6
ET4,Inner,2023-07-20T18:10:00Z,6,16.6,20.5
ET4,Inner,2023-07-20T18:10:00Z,7,NA,20.6
ET4,Inner,2023-07-20T19:10:00Z,1,18.6,20.1
ET4,Inner,2023-07-20T19:10:00Z,2,0,20.3
ET4,Inner,2023-07-20T19:10:00Z,3,5.4,20.5
ET4,Inner,2023-07-20T19:10:00Z,4,4,20.7
ET4,Inner,2023-07-20T19:10:00Z,5,16.8,20.5
ET4,Inner,2023-07-20T19:10:00Z,6,16.7,20.5
ET4,Inner,2023-07-20T19:10:00Z,7,NA,20.7
ET4,Inner,2023-07-20T20:10:00Z,1,18.5,20.1
ET4,Inner,2023-07-20T20:10:00Z,2,0,20.3
ET4,Inner,2023-07-20T20:10:00Z,3,5.3,20.5
ET4,Inner,2023-07-20T20:10:00Z,4,3.8,20.7
ET4,Inner,2023-07-20T20:10:00Z,5,16.8,20.6
ET4,Inner,2023-07-20T20:10:00Z,6,16.6,20.5
ET4,Inner,2023-07-20T20:10:00Z,7,NA,20.6
ET4,Inner,2023-07-20T21:10:00Z,1,18.6,20.1
ET4,Inner,2023-07-20T21:10:00Z,2,0,20.5
ET4,Inner,2023-07-20T21:10:00Z,3,5.3,20.5
ET4,Inner,2023-07-20T21:10:00Z,4,3.7,20.7
ET4,Inner,2023-07-20T21:10:00Z,5,16.7,20.6
ET4,Inner,2023-07-20T21:10:00Z,6,16.6,20.5
ET4,Inner,2023-07-20T21:10:00Z,7,NA,20.6
ET4,Inner,2023-07-20T22:10:00Z,1,18.7,20.1
ET4,Inner,2023-07-20T22:10:00Z,2,0,20.3
ET4,Inner,2023-07-20T22:10:00Z,3,5.2,20.5
ET4,Inner,2023-07-20T22:10:00Z,4,3.7,20.7
ET4,Inner,2023-07-20T22:10:00Z,5,16.7,20.6
ET4,Inner,2023-07-20T22:10:00Z,6,16.6,20.5
ET4,Inner,2023-07-20T22:10:00Z,7,NA,20.6
ET4,Inner,2023-07-20T23:10:00Z,1,21.5,20.1
ET4,Inner,2023-07-20T23:10:00Z,2,0,20.3
ET4,Inner,2023-07-20T23:10:00Z,3,5.2,20.5
ET4,Inner,2023-07-20T23:10:00Z,4,3.8,20.7
ET4,Inner,2023-07-20T23:10:00Z,5,16.8,20.5
